stop_id,stop_name,stop_lat,stop_lon
40151,Almonte Blvd & Miller Ave,37.887188,-122.524834
40152,Almonte Blvd & Miller Ave,37.887569,-122.52475
40153,Almonte Blvd & Rosemont Ave,37.883987,-122.524841
40154,Almonte Blvd & Rosemont Ave,37.884026,-122.52462
40155,Tam Junction-Shoreline Hwy & Almonte Blvd,37.881977,-122.524948
40156,Tam Junction-Shoreline Hwy & Almonte Blvd,37.882069,-122.524818
40157,Mill Valley Depot-Miller Ave & Sunnyside Ave,37.905514,-122.547371
40158,Reed Blvd & Belvedere Dr,37.898609,-122.513275
40162,Manzanita Park & Ride Lot,37.879318,-122.516273
40164,Hwy 101 @ Tiburon Wye Bus Pad,37.903759,-122.51609
40168,Reed Blvd & Redwood Hwy Frontage Rd,37.901188,-122.5149
40169,Shoreline Hwy & Pohono St,37.879616,-122.515167
40170,Hwy 101 @ Tiburon Wye Bus Pad,37.90173,-122.515381
40171,Tiburon Blvd & Hwy 101 SB-Off Ramp,37.90274,-122.514404
40172,Tiburon Blvd & Hwy 101 NB-Off Ramp,37.902504,-122.514008
40173,Tiburon Blvd & Bay Vista Dr,37.89925,-122.504532
40174,Redwood Hwy Frontage Rd & Belvedere Dr,37.896713,-122.51577
40175,Tiburon Blvd & N Knoll Rd,37.90197,-122.511063
40176,Tiburon Blvd & N Knoll Rd,37.902248,-122.511078
40177,Tiburon Blvd & Strawberry Dr,37.898983,-122.504494
40182,Reed Blvd & Redwood Hwy,37.901085,-122.514992
40183,Strawberry Village-Reed Blvd & Belvedere Dr,37.899002,-122.513611
40184,Redwood Hwy Frontage Rd & De Silva Island Dr,37.888672,-122.516014
40185,Redwood Hwy Frontage Rd & De Silva Island Dr,37.888763,-122.5159
40186,Redwood Hwy Frontage Rd & Hwy 101 SB Ramps,37.889305,-122.517433
40187,Hwy 101 @ Seminary Dr Bus Pad,37.889473,-122.51712
40188,Hwy 101 @ Seminary Dr Bus Pad,37.888569,-122.516365
40197,Beach Rd & San Rafael Ave,37.87307,-122.463295
40198,Beach Rd & Juanita Ln,37.87505,-122.459373
40199,Tiburon Blvd & Beach Rd,37.875481,-122.459129
40200,Tiburon Blvd & Beach Rd,37.875107,-122.458969
40201,Tiburon Blvd & Main St,37.873833,-122.4561
40202,Tiburon Blvd & Mar West St,37.877022,-122.461998
40203,Tiburon Blvd & Lyford Dr,37.880424,-122.464851
40204,Tiburon Blvd & Lyford Dr,37.880093,-122.464722
40205,Tiburon Blvd & Neds Way,37.881863,-122.467155
40206,Tiburon Blvd & Neds Way,37.881721,-122.467133
40207,Tiburon Blvd & San Rafael Ave,37.884228,-122.472115
40208,Tiburon Blvd & Gilmartin Dr,37.886272,-122.474319
40209,Tiburon Blvd & Gilmartin Dr,37.886097,-122.474419
40210,Tiburon Blvd & Rock Hill Dr,37.888981,-122.477646
40211,Tiburon Blvd & Rock Hill Dr,37.888641,-122.477547
40212,Tiburon Blvd & Avenida Miraflores,37.892582,-122.482834
40213,Tiburon Blvd & Pine Ter,37.892578,-122.483345
40214,Tiburon Blvd & Stewart Dr,37.894749,-122.48642
40215,Tiburon Blvd & Jefferson Dr,37.897655,-122.489182
40216,Tiburon Blvd & Reed Ranch Rd,37.896053,-122.491829
40217,Tiburon Blvd & Cecilia Way,37.897766,-122.498741
40218,Tiburon Blvd & Cecilia Way,37.896988,-122.498482
40219,Tiburon Blvd & Blackfield Dr,37.898872,-122.501976
40220,Tiburon Blvd & Greenwood Beach Rd,37.897614,-122.489014
40223,Tiburon Blvd & Greenwood Cove Rd,37.898518,-122.501144
40224,Tiburon Blvd & Mar West St,37.877048,-122.462273
40225,Magnolia Ave & Frances Ave,37.94696,-122.546364
40264,Tiburon Blvd & Stewart Dr,37.894676,-122.486542
40267,Hwy 101 @ Lucky Dr Bus Pad,37.93782,-122.517029
40268,Hwy 101 @ Lucky Dr Bus Pad,37.93845,-122.516098
40275,Redwood Ave & Montecito Dr,37.926357,-122.52951
40276,Redwood Ave & Montecito Dr,37.926449,-122.529625
40277,Tamalpais Dr & Eastman Ave,37.925297,-122.523697
40278,Tamalpais Dr & Eastman Ave,37.925507,-122.523781
40279,Tamalpais Dr & Meadowsweet Dr,37.925198,-122.521736
40280,Tamalpais Dr & Madera Blvd,37.925266,-122.518959
40281,Tamalpais Dr & Casa Buena Dr,37.92503,-122.518509
40295,Hwy 101 @ Tamalpais Dr Bus Pad,37.926495,-122.515205
40296,Hwy 101 @ Paradise Dr Bus Pad,37.925331,-122.513794
40297,Magnolia Ave & Frances Ave,37.946831,-122.546364
40298,Magnolia Ave & Estelle Ave,37.948391,-122.548943
40299,Magnolia Ave & Skylark Dr,37.944588,-122.543015
40300,Magnolia Ave & Dartmouth Dr,37.945011,-122.542938
40301,Magnolia Ave & Bon Air Rd,37.943031,-122.540535
40302,Magnolia Ave & Bon Air Rd,37.943386,-122.54071
40303,Magnolia Ave & Ward St,37.935921,-122.535309
40304,Magnolia Ave & Ward St,37.936222,-122.53508
40305,Magnolia Ave & Madrone Ave,37.932579,-122.536064
40306,Magnolia Ave & Madrone Ave,37.932655,-122.535934
40307,Magnolia Ave & Park Way,37.929089,-122.53344
40308,Magnolia Ave & Alexander Ave,37.92947,-122.53392
40315,Sir Francis Drake Blvd & McAllister Ave,37.953232,-122.539986
40316,Sir Francis Drake Blvd & Wolfe Grade,37.952747,-122.538094
40317,Sir Francis Drake Blvd & Wolfe Grade,37.953064,-122.538383
40318,Sir Francis Drake Blvd & Bon Air Rd,37.950314,-122.533501
40319,Sir Francis Drake Blvd & Bon Air Rd,37.95071,-122.533859
40320,Sir Francis Drake Blvd & El Portal Dr,37.948395,-122.527756
40321,Sir Francis Drake Blvd & El Portal Dr,37.948906,-122.528458
40322,Sir Francis Drake Blvd & La Cuesta Dr,37.947372,-122.525108
40323,Sir Francis Drake Blvd & La Cuesta Dr,37.947742,-122.525475
40324,Sir Francis Drake Blvd & Eliseo Dr,37.945427,-122.520111
40325,Sir Francis Drake Blvd & Eliseo Dr,37.945808,-122.520439
40326,Larkspur Ferry Terminal,37.944466,-122.508957
40330,Colg of Marin-College Ave & Sir Francis Drake Blvd,37.954727,-122.548241
40332,1125 Sir Francis Drake Blvd,37.959076,-122.552269
40333,1111 Sir Francis Drake Blvd,37.959438,-122.552559
40334,Colg of Marin-Sir Francis Drake Blvd & Elm Ave,37.956234,-122.548515
40335,Colg of Marin-Sir Francis Drake Blvd & Maple Ave,37.95631,-122.548172
40336,Sir Francis Drake Blvd & Ash Ave,37.954109,-122.54583
40337,Sir Francis Drake Blvd & Ash Ave,37.954319,-122.545692
40338,Sir Francis Drake Blvd & Rosebank Dr,37.953602,-122.54332
40339,Sir Francis Drake Blvd & Oak Ave,37.953861,-122.543083
40340,Sir Francis Drake Blvd & Laurel Grove Ave,37.953629,-122.540848
40341,Sir Francis Drake Blvd & Lagunitas Rd,37.962395,-122.555756
40342,Sir Francis Drake Blvd & Lagunitas Rd,37.962734,-122.555855
40349,Colg of Marin-College Ave & Sir Francis Drake Blvd,37.954258,-122.54863
40416,4th St & Ross Valley Dr,37.976124,-122.550194
40418,4th St & Santa Margarita Ave,37.976334,-122.549873
40419,4th St & Greenfield Ave,37.975113,-122.544228
40420,4th St & Greenfield Ave,37.974857,-122.544212
40421,4th St & Ida St,37.974159,-122.537987
40422,4th St & Ida St,37.974075,-122.538231
40423,4th St & E St,37.973564,-122.533058
40424,4th St & E St,37.973717,-122.533447
40425,4th St & C St,37.973499,-122.530945
40426,4th St & C St,37.973354,-122.530548
40427,4th St & Court St,37.973133,-122.527283
40428,4th St & Court St,37.972992,-122.526878
40430,San Rafael Transit Center Platform B,37.971092,-122.522659
40436,Andersen Dr & W Francisco Blvd,37.960533,-122.511795
40437,Andersen Dr & W Francisco Blvd,37.960323,-122.511887
40438,Andersen Dr & Du Bois St,37.963638,-122.517136
40439,Andersen Dr & Du Bois St,37.963593,-122.51741
40440,Andersen Dr & Irwin St,37.966274,-122.521782
40441,Andersen Dr & Irwin St,37.966213,-122.522064
40442,Lindaro St & 2nd St,37.970234,-122.526047
40443,Lindaro St & Andersen Dr,37.969696,-122.526283
40465,Kerner Blvd btwn 3140 & 3160,37.95866,-122.501129
40466,Bellam Blvd & Lisbon St,37.961201,-122.503555
40468,Andersen Dr & Jacoby St,37.957222,-122.507446
40469,Golden Gate Transit-1011 Andersen Dr,37.955353,-122.504219
40470,Andersen Dr & Simms St,37.957466,-122.507591
40472,Sir Francis Drake Blvd & San Anselmo Ave,37.986454,-122.576797
40473,Sir Francis Drake Blvd & Butterfield Rd,37.986721,-122.578972
40474,Sir Francis Drake HS-Sir Francis Drake & Ash Ave,37.985386,-122.574287
40475,Sir Francis Drake Blvd & Broadmoor Ave,37.985966,-122.575172
40476,Sir Francis Drake Blvd & Tamal Ave,37.982315,-122.569046
40478,Sir Francis Drake Blvd & Aspen Ct,37.984852,-122.573112
40479,Sir Francis Drake Blvd & Sais Ave,37.980919,-122.566727
40480,Sir Francis Drake Blvd & San Francisco Blvd,37.982559,-122.569214
40481,Sir Francis Drake Blvd & Sunnyhills Dr,37.981255,-122.567055
40482,Sir Francis Drake Blvd & Madrone Ave,37.978928,-122.564117
40483,Sir Francis Drake Blvd & Madrone Ave,37.97879,-122.564331
40484,San Anselmo Hub-Center Blvd & Sir Francis Drake,37.976509,-122.562767
40485,Sir Francis Drake Blvd & Ross Ave,37.97242,-122.561714
40486,Sir Francis Drake Blvd & Barber Ave,37.972816,-122.561523
40487,Sir Francis Drake Blvd & Bolinas Ave,37.96936,-122.560661
40488,Sir Francis Drake Blvd & Bolinas Ave,37.969749,-122.560486
40489,Red Hill Ave & Sequoia Dr,37.976387,-122.554184
40490,Red Hill Ave & Sequoia Dr,37.976635,-122.554642
40491,Butterfield Rd @ San Domenico School,38.014069,-122.585091
40492,Butterfield Rd & Van Winkle Dr,38.012249,-122.585686
40493,Butterfield Rd & Van Winkle Dr,38.012352,-122.585579
40494,Butterfield Rd & Katrina Ln,38.009834,-122.583794
40495,Butterfield Rd & Katrina Ln,38.009926,-122.583725
40496,Butterfield Rd & Sleepy Hollow Dr,38.00737,-122.579231
