stop_id,stop_name,stop_lat,stop_lon
3606,47TH AVE & WAWONA ST  ,37.736018,-122.505366
3608,48TH AVE & POINT LOBOS AVE  ,37.779023,-122.509411
3611,CYRIL MAGNIN ST & MARKET ST  ,37.784162,-122.408175
3612,CYRIL MAGNIN ST & MARKET ST  ,37.784011,-122.40821
3613,46 ADDISON ST   ,37.737735,-122.431009
3614,164 ADDISON  ST   ,37.738172,-122.432807
3615,ADDISON ST & DIAMOND HEIGHTS BLVD,37.740037,-122.435716
3616,ADDISON  ST & DIGBY ST  ,37.740001,-122.433609
3617,ADDISON  ST & FARNUM ST  ,37.740189,-122.434216
3618,ADDISON  ST & FARNUM ST  ,37.740055,-122.434433
3619,ALANA WAY & EXECUTIVE PARK BLVD,37.70898,-122.39422
3621,ALEMANY BLVD & ARCH ST  ,37.71163,-122.4669
3622,ALEMANY BLVD & ARCH ST  ,37.711418,-122.46717
3628,ALEMANY BLVD & ST CHARLES AVE ,37.710359,-122.469458
3629,ALEMANY BLVD/ST MARY'S PARK BRIDGE,37.73229,-122.42059
3630,ALEMANY BLVD & VICTORIA ST  ,37.71183,-122.46507
3631,ALEMANY BLVD & VICTORIA ST  ,37.71164,-122.46492
3641,ARCH ST & ALEMANY BLVD  ,37.71166,-122.46711
3642,ARGUELLO BLVD & BALBOA ST  ,37.777075,-122.458645
3643,ARGUELLO BLVD & CALIFORNIA ST ,37.785596,-122.459093
3644,ARGUELLO BLVD & CALIFORNIA ST ,37.78556,-122.459254
3645,ARGUELLO BLVD & CLEMENT ST  ,37.783071,-122.45907
3647,ARGUELLO BLVD & EUCLID AVE  ,37.78374,-122.458956
3648,ARGUELLO BLVD & FULTON ST  ,37.774425,-122.458301
3649,ARGUELLO BLVD & GEARY BLVD  ,37.781429,-122.458955
3650,ARGUELLO BLVD & GEARY BLVD  ,37.781081,-122.45876
3651,ARGUELLO BLVD & TURK ST  ,37.777477,-122.458519
3652,ARKANSAS ST & 22ND ST  ,37.75745,-122.39804
3653,ARKANSAS ST & MADERA ST  ,37.75597,-122.39789
3656,ASHBURY ST & CLIFFORD TER,37.764281,-122.445946
3657,ASHBURY ST & CLIFFORD TER   ,37.764298,-122.446095
3659,ASHBURY ST & CLAYTON ST  ,37.762978,-122.446805
3661,ASHBURY ST & FREDERICK ST  ,37.767154,-122.446278
3662,ASHBURY ST & HAIGHT ST  ,37.769937,-122.446851
3663,ASHBURY ST & PIEDMONT ST  ,37.765298,-122.446072
3664,ASHBURY ST & PIEDMONT ST  ,37.765146,-122.445877
3665,ASHBURY ST & WALLER ST  ,37.769161,-122.446851
3666,ASHBURY ST & WALLER ST  ,37.76901,-122.446656
3667,ATHENS ST & AVALON AVE   ,37.72465,-122.4261
3668,ATHENS ST & BRAZIL AVE   ,37.72155,-122.42846
3669,ATHENS ST & EXCELSIOR AVE   ,37.72311,-122.42729
3670,AVENUE B & GATEVIEW AVE,37.82695,-122.377402
3673,AVENUE H & 4TH ST  ,37.821938,-122.367796
3674,AVENUE H & 6TH ST  ,37.823625,-122.36893
3675,AVENUE H & CALIFORNIA ST,37.819939,-122.366422
3680,AVALON AVE & LA GRANDE AVE  ,37.72474,-122.42422
3681,AVALON AVE & LA GRANDE AVE   ,37.72474,-122.42437
3682,AVALON AVE & PERU AVE  ,37.72508,-122.42342
3685,BACON ST & GIRARD ST  ,37.72744,-122.40451
3686,BACON ST & GIRARD ST  ,37.72732,-122.4047
3687,BACON ST & GOETTINGEN ST  ,37.72691,-122.40648
3688,BACON ST & GOETTINGEN ST  ,37.7268,-122.40667
3689,BEVERLY ST & GARFIELD ST  ,37.719728,-122.471739
3690,BERNAL HEIGHTS BLVD & BRADFORD ST,37.74183,-122.40978
3691,BERNAL HEIGHTS BLVD & POWHATTAN AVE,37.74151,-122.41067
